custom_id,paper_id,claim_index,claim,support_level,support_refs
10.1002_bdm.2050,10.1002_bdm.2050,4,"Democratic peer punishment increases fairness perceptions, satisfaction, and interpersonal trust compared to both standard peer punishment and no punishment.",high,Results: Psychological consequences | Table 1 | Discussion
10.1002_bdm.2050,10.1002_bdm.2050,5,"Antisocial punishment is reduced in the democratic peer punishment system, and this reduction is associated with higher cooperation and efficiency.",high,Results: Punishment | Table 1 | Discussion
10.1002_bdm.2110,10.1002_bdm.2110,1,People are less willing to employ costly rewards and punishments when sanctioning decisions are made before (rather than after) the occurrence of others' (non)cooperation.,high,Abstract | Experiments 1 and 2 Results | General Discussion
10.1002_bdm.2110,10.1002_bdm.2110,2,The reduction in willingness to sanction before the behavior is due to nonconsequential reasoning induced by uncertainty about future behavior.,medium,Introduction | Experiment 3 Results | General Discussion
10.1002_bdm.2110,10.1002_bdm.2110,3,The effect of decision timing on sanctioning is not explained by differences in emotional reactions between conditions.,high,Experiments 1 and 2 Results | General Discussion
10.1002_bdm.2110,10.1002_bdm.2110,4,"The effect of decision timing is robust across both reward and punishment, but is stronger for punishment.",medium,Experiments 1 and 2 Results | Tables 1 and 2
10.1002_bdm.2134,10.1002_bdm.2134,1,"Participants increase their own withdrawals in response to high withdrawals by others, but this is driven by observed behavior, not by perceptions of greed.",high,"Study 1 Results (2.3.2, Table 2, Figure 2) | Study 2 Results (3.2.1, Table 3, Figure 4) | General Discussion"
10.1002_bdm.2134,10.1002_bdm.2134,2,"Perceptions of greed are reliably associated with high withdrawals, but do not mediate or drive subsequent behavior.",high,"Study 1 Results (2.3.1, Table 1) | Study 1 Results (2.3.2, Table 2) | Study 2 Results (3.2.1, Table 3) | Study 3 Results (4.2, Figure 7) | General Discussion"
10.1002_bdm.2134,10.1002_bdm.2134,3,Information about an opponent's greedy reputation does not affect new participants' withdrawal behavior.,high,"Study 2 Results (3.2.3, Figure 5) | General Discussion"
10.1002_bdm.2134,10.1002_bdm.2134,4,Warning participants that their greed reputation will be shared does not significantly reduce their greedy behavior.,medium,"Study 2 Results (3.2.4, Figure 6)"
10.1002_bdm.2134,10.1002_bdm.2134,5,No evidence is found that learning one is perceived as greedy reduces subsequent greedy behavior.,high,"Study 4 Results (5.2.2, Table 4) | General Discussion"
10.1002_bdm.2208,10.1002_bdm.2208,1,There are no robust gender differences in the use of third-party punishment or compensation in response to observed unfairness across 11 nations.,high,Abstract | 3.2 Results | 4.1.3 Results | 5 General Discussion
10.1002_bdm.2208,10.1002_bdm.2208,2,Both men and women prefer to compensate the victim rather than punish the perpetrator in the third-party compensation/punishment game.,high,3.2 Results | 3.3 Discussion | 4.1.3 Results | 5 General Discussion
10.1002_bdm.2208,10.1002_bdm.2208,3,Increasing the effectiveness of punishment (punishment impact per unit cost) does not substantially increase the use of punishment relative to compensation.,medium,4.1.2 Materials and procedure | 4.1.3 Results | Table 3
10.1002_bdm.2208,10.1002_bdm.2208,4,"The preference for compensation over punishment may be due to the fact that punishment results in a collective loss, while compensation benefits the victim.",medium,3.3 Discussion | 5 General Discussion
10.1002_bdm.2243,10.1002_bdm.2243,1,"Participants are more cooperative in common resource dilemmas (CRDs) than in public good dilemmas (PGDs), even when the payoff structure is held constant.",high,Abstract | 4.3.1 | Cooperation decisions | 5.2.1 | Cooperation decisions | Table 1 | Table 4 | Figure 4 | Figure 6
10.1002_bdm.2243,10.1002_bdm.2243,2,"Punishment is used more frequently in CRDs than in PGDs, while reward is used more frequently in PGDs than in CRDs.",high,Abstract | 4.3.2 | Sanctioning decisions | 5.2.2 | Sanctioning decisions | Table 2 | Table 5 | Figure 5 | Figure 7
10.1002_bdm.2243,10.1002_bdm.2243,3,The differences in cooperation and sanctioning between CRDs and PGDs are robust to changes in the framing of the action (taking/leaving/giving/keeping).,high,5 | EXPERIMENT 2 | 5.2.1 | Cooperation decisions | 5.2.2 | Sanctioning decisions | Table 4 | Table 5
10.1002_bdm.2243,10.1002_bdm.2243,4,"The study does not report efficiency, group payoff, or welfare outcomes, so the effect of punishment on efficiency cannot be determined from this paper.",high,"Outcomes reported | Tables 1, 2, 4, 5 (no efficiency or group payoff columns) | General Discussion"
10.1002_bdm.2273,10.1002_bdm.2273,1,Expressing shame (and guilt) after uncooperative behavior increases subsequent intergroup cooperation and group payoffs in a repeated centipede game.,high,Study 1 Results | Study 2 Results | Table 1 | Table 2 | General Discussion
10.1002_bdm.2273,10.1002_bdm.2273,2,"Expressing pride after uncooperative behavior decreases subsequent intergroup cooperation and group payoffs, and increases costly punishment by the opposing group.",high,Study 1 Results | Study 2 Results | Table 2 | General Discussion
10.1002_bdm.2273,10.1002_bdm.2273,3,"Emotional communication (shame, guilt, pride) can repair or damage intergroup relationships in social dilemmas, affecting efficiency even when prior behavior is held constant.",high,Study 2 Results | General Discussion
10.1002_bdm.2273,10.1002_bdm.2273,4,The effect of emotion expression is robust to experimental manipulation and is not solely due to prior behavior.,high,Study 2 Methods and Results | General Discussion
10.1002_bdm.2328,10.1002_bdm.2328,1,"Preferences for honesty robustly and significantly predict higher contributions in public goods games, even when controlling for other-regarding preferences and social norms.",high,Results 3.3 | Table 2 | Figure 2 | Discussion
10.1002_bdm.2328,10.1002_bdm.2328,2,"The association between honesty and contribution is stronger in the Honesty Frame than in the Contribution Frame, but the difference is not always statistically significant.",medium,Results 3.4 | Table 3 | Figure 3 | Discussion
10.1002_bdm.2328,10.1002_bdm.2328,3,There is no significant difference in average contributions between the Honesty Frame and the Contribution Frame treatments.,high,Results 3.5 | Figure 4 | Discussion
10.1002_bdm.2328,10.1002_bdm.2328,4,No punishment or sanctioning mechanisms are present or studied in this experiment.,high,Methods 2.1 | Throughout paper
10.1002_bdm.2328,10.1002_bdm.2328,5,"No efficiency, group payoff, or welfare outcomes are reported; the focus is on contribution behavior.",high,Results 3.3-3.5 | Tables 2-3 | Discussion
10.1002_cplx.20244,10.1002_cplx.20244,1,"Shame can evolve as an adaptation to social punishment, increasing pro-social behavior after punishment.",high,Abstract | Results | Discussion
10.1002_cplx.20244,10.1002_cplx.20244,2,The presence of punishment and/or shame can stabilize higher levels of generosity (pro-social behavior) in the population.,high,Results | Figure 1 | Discussion
10.1002_cplx.20244,10.1002_cplx.20244,3,Costless punishment (to the punisher) or the presence of shame leads to a stable coexistence of punishers and non-punishers and higher generosity.,medium,Results | Figure 1 | Discussion
10.1002_cplx.20244,10.1002_cplx.20244,4,"The model produces fluctuating dynamics, with periods of high cooperation interspersed with selfishness, but does not directly address efficiency or group payoff.",medium,Results | Discussion
10.1002_cplx.20289,10.1002_cplx.20289,1,"The final proportion of cooperators in the population depends on the mutual positions of the parabolic payoff functions, the agent update rule, and the neighborhood structure.",high,"CONCLUSION | Figures 1, 5, 7, 8, 10, 11, 15, 18, 22, 24, 26, 28, 30, 31, 33, 34"
10.1002_cplx.20289,10.1002_cplx.20289,2,"Predictable outcomes (e.g., all-cooperation or all-defection) only occur for greedy or conformist agents with global neighborhoods; otherwise, unexpected or emergent properties arise.",high,"CONCLUSION | Results section | Figures 8, 10, 19"
10.1002_cplx.20289,10.1002_cplx.20289,3,"The model demonstrates the power of emergence in N-person games with nonlinear payoff functions, but a full mathematical explanation is lacking.",medium,CONCLUSION
10.1002_cplx.20308,10.1002_cplx.20308,1,The final proportion of cooperators in the N-person chicken game can change drastically and irregularly as payoff parameters (R and S) are varied.,high,Abstract | Simulation section | Figures 6-13 | Conclusion
10.1002_cplx.20308,10.1002_cplx.20308,2,No punishment or sanctioning mechanism is present in the model; outcomes are determined solely by payoff structure and imitation dynamics.,high,Model section | Simulation section
10.1002_cplx.20308,10.1002_cplx.20308,3,"The system stabilizes to a constant or oscillating cooperation rate, but group efficiency or total payoff is not directly analyzed.",high,"Simulation section | Figures 4, 6-13"
10.1002_ejsp.227,10.1002_ejsp.227,1,Trust recipients allocate less to trust givers who express selfish expectations than to those who express cooperative or no expectations.,high,RESULTS | Table 1 | Figure 1 | DISCUSSION
10.1002_ejsp.227,10.1002_ejsp.227,2,There is no significant difference in allocations between the cooperative and pure trust conditions.,high,RESULTS | DISCUSSION
10.1002_ejsp.227,10.1002_ejsp.227,3,"Explicitly communicating selfish expectations activates self-interest and reactance, leading to less cooperative responses.",medium,DISCUSSION | Table 2
10.1002_ejsp.227,10.1002_ejsp.227,4,"Punishment and sanctioning are discussed as psychological responses to norm violation, but are not implemented as game mechanisms.",medium,INTRODUCTION | DISCUSSION
10.1002_ejsp.3171,10.1002_ejsp.3171,1,Perceptions of economic fairness positively affect individuals' willingness to engage in altruistic punishment.,high,Abstract | Study 1 Results | Study 3 and 4 Results | General Discussion 7.1
10.1002_ejsp.3171,10.1002_ejsp.3171,2,The effect of perceptions of economic fairness on altruistic punishment is moderated by outcome efficacy; the effect is significant only when punishment is perceived as effective.,high,Abstract | Study 5 Results | General Discussion 7.3
10.1002_ejsp.3171,10.1002_ejsp.3171,3,Altruistic punishment is more likely when individuals believe society is fair and their actions can uphold social norms.,medium,General Discussion 7.1 | Study 5 Results
10.1002_ejsp.3171,10.1002_ejsp.3171,4,"No evidence is provided on the effect of punishment on group efficiency, welfare, or total payoff.",high,"Outcomes Reported | Study 3, 4, 5 Methods and Results"
10.1002_ejsp.506,10.1002_ejsp.506,1,"Severe sanctions increase moral judgment that rule-breaking is wrong, compared to mild or no sanctions.",high,Study 1 Results | Study 2 Results | Study 3 Results | General Discussion
10.1002_ejsp.506,10.1002_ejsp.506,2,The effect of sanction severity on moral judgment is moderated by trust in authorities: only those with high trust show increased moral judgment under severe sanctions.,high,Study 2 Results | Study 3 Results | General Discussion
10.1002_ejsp.506,10.1002_ejsp.506,3,"Severe sanctions increase social disapproval and willingness to disadvantage rule-breakers, but only when trust in authorities is high.",high,Study 3 Results | General Discussion
10.1002_ejsp.506,10.1002_ejsp.506,4,Sanctions can increase or decrease moral norms depending on their interpretation (retributive vs. compensatory) and acceptance by the group.,medium,General Discussion | The Positive and Negative Influence of Sanctions on Moral Norms
10.1002_ejsp.793,10.1002_ejsp.793,1,Direct questioning overestimates cooperation rates in the prisoner's dilemma by about 18% compared to a randomized-response technique that maximizes anonymity.,high,Results | Table 2 | Discussion
10.1002_ejsp.793,10.1002_ejsp.793,2,"Cooperation remains substantial (about 50%) even under conditions of maximum anonymity, indicating that cooperation is not solely due to social desirability bias.",high,Results | Discussion
10.1002_ejsp.793,10.1002_ejsp.793,3,The study provides a method for estimating the true prevalence of cooperation in social dilemma games by accounting for social desirability bias.,medium,Methods | Discussion
10.1002_evan.21430,10.1002_evan.21430,1,"Punishment increases cooperation in public goods games, but its effect on efficiency is mixed: it can reduce group payoffs when punishment is frequent and costly.",high,The Hazardous Nature of Costly Punishment | Figure 5 | Conclusion
10.1002_evan.21430,10.1002_evan.21430,2,"In longer games, or when communication and reputation are present, the frequency and cost of punishment decline, and efficiency improves, sometimes exceeding the no-punishment baseline.",high,Punishment in the Lab: Time Heals Everything | Figure 6 | Conclusion
10.1002_evan.21430,10.1002_evan.21430,3,"Antisocial punishment and second-order free-riding can undermine the efficiency of punishment, but these problems are less severe in real-world or more naturalistic settings.",medium,The Hazardous Nature of Costly Punishment | How Relevant Is Second-Order Free-Riding? | AntiSocial Punishment: Hiding Behind Anonymity?
10.1002_evan.21430,10.1002_evan.21430,4,"Communication, reputation, and coordination mechanisms (often absent in lab experiments) can transform punishment into a more efficient and less costly tool for sustaining cooperation.",high,"No Choice But to Punish | Indirect Reciprocity: When Punishment and Reputation Pull Together | Coordination: United We Stand, Divided We Fall | Conclusion"
10.1002_evan.21430,10.1002_evan.21430,5,"Experimental designs that lack communication, reputation, or coordination may overstate the inefficiency and destructiveness of punishment.",high,Conclusion | Punishment in the Lab: Time Heals Everything | No Choice But to Punish
10.1002_evan.21909,10.1002_evan.21909,1,"The maintenance of prosocial behavior in large-scale societies is best explained by the evolution of new institutional rules (social interaction mechanisms) that make cooperation payoff-compatible for self-interested individuals, rather than by a shift to decision-making mechanisms that are insensitive to payoff.",high,Section 4.2 | Conclusion
10.1002_evan.21909,10.1002_evan.21909,2,"Empirical evidence suggests that humans are generally sensitive to material payoffs in social dilemmas, and that cooperation is typically sustained by mechanisms that align self-interest with group benefit.",medium,Section 3.2 | Conclusion
10.1002_evan.21909,10.1002_evan.21909,3,"Institutional rules such as monitoring, sanctioning, and reputation systems are crucial for supporting cooperation in large-scale societies, especially as group size increases and direct reciprocity becomes less feasible.",medium,Section 2.4.2 | Section 4.2
10.1002_evan.21909,10.1002_evan.21909,4,"In large-scale societies, prosociality among non-relatives is generally cooperative (payoff-increasing for all), not altruistic (payoff-decreasing for the actor), due to the design of institutions.",medium,Section 3.1 | Conclusion
10.1002_evan.21909,10.1002_evan.21909,5,There is little evidence that conformity- or prestige-biased social learning alone can sustain prosociality in large-scale societies without supporting institutional mechanisms.,medium,Section 4.1 | Section 3.2
10.1002_evan.21944,10.1002_evan.21944,1,"Large-scale cooperation (hundreds of individuals) in the production of public goods was common in Holocene and likely Pleistocene foraging societies, even at low population densities.",high,Abstract | Section 3 | Section 7 | Table 1 | Figure 4
10.1002_evan.21944,10.1002_evan.21944,2,"Direct sanctions (ostracism, denial of aid, physical punishment) and social norms were important mechanisms for sustaining cooperation in large groups, where mutualistic or reciprocal incentives are insufficient.",high,Section 2 | Section 7 | Discussion of sanctions in Section 2
10.1002_evan.21944,10.1002_evan.21944,3,The 'mismatch hypothesis'—that large-scale cooperation is a recent maladaptation—is undermined by evidence of large-scale cooperation in foraging societies.,medium,Abstract | Section 1 | Section 7
10.1002_evan.21944,10.1002_evan.21944,4,"As group size increases, the effectiveness of self-interested punishment declines, requiring additional motives or institutional mechanisms to sustain cooperation.",high,Section 2 | Discussion of scale and sanctions
10.1002_evan.21944,10.1002_evan.21944,5,"The paper does not provide quantitative data on efficiency, payoffs, or welfare outcomes in collective action contexts.",high,Throughout; absence of quantitative outcome reporting
10.1002_hbm.21298,10.1002_hbm.21298,1,Third-party punishment of norm violators is strongly modulated by group membership: outgroup defectors are punished much more than ingroup defectors for the same violation.,high,RESULTS: Behavioral Results: Parochial Punishment Patterns | Figure 2 | DISCUSSION | Abstract
10.1002_hbm.21298,10.1002_hbm.21298,2,"The increased punishment of outgroup defectors is associated with increased activity and connectivity in a neural network involved in punishment-related decision processes (right orbitofrontal gyrus, right lateral prefrontal cortex, right dorsal caudatus).",high,RESULTS: fMRI Data: Outgroup Effects | Figure 3 | DISCUSSION | Abstract
10.1002_hbm.21298,10.1002_hbm.21298,3,"The reduced punishment of ingroup defectors is associated with increased activity and connectivity in the mentalizing network (dorsomedial prefrontal cortex, bilateral temporo-parietal junction), suggesting a process of justification or understanding for ingroup members.",high,RESULTS: fMRI Data: Ingroup Effects | Figure 5 | DISCUSSION | Abstract
10.1002_hbm.21298,10.1002_hbm.21298,4,"The mentalizing network modulates punishment behavior by affecting activity in punishment-related brain areas, enabling reduced punishment for ingroup members.",medium,RESULTS: fMRI Data: Functional Connectivity Analysis Between the Mentalizing Network and the Punishment Network | Figure 7 | DISCUSSION
10.1002_hbm.21298,10.1002_hbm.21298,5,"The study does not report on efficiency, group payoff, or welfare outcomes.",high,RESULTS: Behavioral Results | METHODS: Behavioral Analyses | Throughout
10.1002_hbm.22316,10.1002_hbm.22316,1,"Punishing unfair offers in a social exchange paradigm is associated with increased activation in brain regions linked to reactive aggression (PAG, dmPFC, AIC) and decreased activation in reward-related regions (vmPFC, PCC).",high,RESULTS | DISCUSSION | Table II | Figure 2 | CONCLUSIONS
10.1002_hbm.22316,10.1002_hbm.22316,2,"The neural data question the interpretation that punishing unfairness is inherently rewarding; instead, punishment may reflect a reactive aggressive response to provocation.",high,DISCUSSION | CONCLUSIONS
10.1002_hbm.22316,10.1002_hbm.22316,3,Participants spend more to punish as offers become more unfair.,high,RESULTS | Table I
10.1002_hbm.25648,10.1002_hbm.25648,1,"There exist three distinct types of third-party punishers: independent punishers, conditional punishers, and nonpunishers.",high,Results 3.1 | Figure 2a | Discussion
10.1002_hbm.25648,10.1002_hbm.25648,2,"These punishment types can be differentiated by structural brain characteristics: independent punishers have larger right TPJ, conditional punishers have larger right DLPFC, and both independent punishers and nonpunishers have larger bilateral caudate compared to conditional punishers.",high,Results 3.3 | Figure 3 | Discussion
10.1002_hbm.25648,10.1002_hbm.25648,3,Self-reported motives and neural traits together can classify individuals into punishment types with over 60% accuracy.,high,"Results 3.2, 3.3 | Figure 4c | Discussion"
10.1002_hbm.25648,10.1002_hbm.25648,4,"Conditional punishers are motivated by collective action and shared responsibility, while independent punishers are motivated by norm enforcement and moral correctness.",medium,"Results 3.2 | Figure 2c, 2d | Discussion"
10.1002_hbm.25874,10.1002_hbm.25874,1,"Disadvantageous unfair experience increases the rate of third-party punishment, while advantageous unfair experience increases the rate of third-party compensation.",high,Results 3.1 Behavioral results | Figure 2a | Discussion
10.1002_hbm.25874,10.1002_hbm.25874,2,"Mood mediates the effect of unfair experience on third-party responses: negative emotion increases punishment after disadvantageous unfairness, positive emotion increases compensation after advantageous unfairness.",high,"Results 3.1 Behavioral results | Mediation models | Figure 2b,c | Discussion 4.2"
10.1002_hbm.25874,10.1002_hbm.25874,3,Distinct patterns of DLPFC activation are associated with third-party compensation (increased activity after advantageous unfairness) and punishment (decreased activity after disadvantageous unfairness).,high,Results 3.2 Brain activation results | Figure 3 | Discussion 4.4
10.1002_hbm.25874,10.1002_hbm.25874,4,Empathy and social value orientation do not significantly moderate the main effects of unfair experience on third-party responses.,medium,Results 3.1 Behavioral results | Empathy and SVO analyses
10.1002_ijop.12257,10.1002_ijop.12257,1,"Feedback about low back transfers from trustees increases anger in senders, which in turn reduces their willingness to cooperate in subsequent rounds.",high,Results | Table 1 | Table 2 | Discussion
10.1002_ijop.12257,10.1002_ijop.12257,2,"Individuals with a high negative reciprocity orientation are more prone to anger and less willing to cooperate, even in the absence of anger-eliciting feedback.",high,Results | Table 2 | Table 3 | Discussion
10.1002_ijop.12257,10.1002_ijop.12257,3,The interaction between anger and negative reciprocity orientation further reduces cooperation in repeated trust games.,high,Results | Table 3 | Figure 1 | Discussion
10.1002_ijop.12257,10.1002_ijop.12257,4,"Absence of feedback leads to lower anger and relatively higher cooperation, especially among those low in negative reciprocity orientation.",medium,Results | Table 1 | Discussion
10.1002_ird.2704,10.1002_ird.2704,1,"There are multiple stable equilibria (lock-ins) in collective investment in irrigation infrastructure, with both low and high investment levels possible.",high,"Section 6.2 | Table 3 | Figures 3, 4, 5, 6"
10.1002_ird.2704,10.1002_ird.2704,2,Communication (chat) treatment increases collective investment and makes high-investment equilibria more likely compared to baseline.,high,Section 6.3 | Table 3 | Figure 4
10.1002_ird.2704,10.1002_ird.2704,3,"Penalty (punishment) treatments, both low and high, reduce collective investment compared to baseline, crowding out intrinsic motivation and leading to lower investment equilibria.",high,"Section 6.4 | Table 3 | Figures 5, 6 | Discussion and Conclusion"
10.1002_ird.2704,10.1002_ird.2704,4,"Punishment does not increase resilience or efficiency in this context; instead, it can make groups more likely to be trapped in low-investment conventions.",high,Section 6.4 | Discussion and Conclusion
10.1002_jid.3873,10.1002_jid.3873,1,Willingness to cooperate is higher among individuals with more tolerant reciprocity dispositions.,high,Results | Table 6 | Discussion
10.1002_jid.3873,10.1002_jid.3873,2,Perceived positive leadership in the community increases willingness to cooperate.,high,Results | Table 6 | Discussion
10.1002_jid.3873,10.1002_jid.3873,3,Perceived economic benefits from cooperation are the strongest predictor of willingness to cooperate.,high,Results | Table 6 | Discussion
10.1002_jid.3873,10.1002_jid.3873,4,"Punishment and reward are important theoretical mechanisms for solving second-order collective action problems, but are not directly measured in this study.",medium,Introduction | Literature Review | Discussion | Conclusions
10.1002_mde.2877,10.1002_mde.2877,1,"Preannounced sanctions by the principal can crowd out intrinsic motivation, leading to lower agent effort compared to when sanctions are not preannounced or are imposed by a computer.",high,Abstract | Section 5.1 | Section 6 Conclusion | Table 5 | Table 7
10.1002_mde.2877,10.1002_mde.2877,2,"When agents do not know whether low performance will be sanctioned, or when a computer imposes sanctions, there is no negative signaling effect and effort is higher.",high,Abstract | Section 5.2 | Section 6 Conclusion | Table 6
10.1002_mde.2877,10.1002_mde.2877,3,"Sanctions have a positive incentive effect on effort, but this can be offset or reversed by negative signaling effects when sanctions are preannounced by the principal.",high,Section 5.1 | Section 5.3 | Section 6 Conclusion | Table 7
10.1002_mde.2877,10.1002_mde.2877,4,"The study does not measure or report efficiency, group payoff, or welfare; all results are in terms of individual effort.",high,Section 5 | Tables 5 and 6 | Section 6 Conclusion
10.1002_mde.4492,10.1002_mde.4492,1,"Increasing the opportunity cost of unproductive investment (i.e., increasing the marginal return to productive investment) does not significantly increase the frequency of productive investment choices.",high,Section 4.1 Resource Allocation Choices | Table 3 | Table 4 | Conclusion
10.1002_mde.4492,10.1002_mde.4492,2,"Subjects punish human partners who choose unproductive investment by giving them less in the distribution stage, but do not punish when the unproductive choice is made by a computer.",high,Section 4.2 Giving Behavior in the Distribution Stage | Table 6 | Conclusion
10.1002_mde.4492,10.1002_mde.4492,3,The presence of distributive punishment does not lead to higher productive investment or efficiency.,medium,Section 4.1 | Section 4.2 | Conclusion
10.1002_mde.4492,10.1002_mde.4492,4,Giving behavior in the distribution stage is more strongly affected by the partner's allocation choice than by one's own allocation choice.,high,Section 4.2 | Table 6 | Conclusion
10.1002_pchj.259,10.1002_pchj.259,1,Third-party punishment and the combination of third-party punishment and reward both significantly increase the average level of cooperation compared to baseline; third-party reward alone has little effect.,high,Results: Changes in level of cooperation under different types of third-party sanctions | Figure 1 | Discussion | Conclusions
10.1002_pchj.259,10.1002_pchj.259,2,"The combination of third-party punishment and reward (TP/R) may have a complementary effect, leading to the highest cooperation and potential for higher group payoffs.",medium,Results: Changes in level of cooperation | Discussion | Conclusions
