custom_id,paper_id,status_code,request_id,model,parse_status,api_error_message,parse_error,paper_type_primary,paper_type_empirical,paper_type_experimental,relevance_pgg_or_variant,relevance_punishment_or_sanctions,relevance_efficiency_or_related_payoff_outcome,outcomes_primary_outcome_type,outcomes_payoff_related_outcomes,outcomes_non_payoff_outcomes,outcomes_notes,overall_effect_direction_on_efficiency_or_related_payoff,overall_summary,paper_findings,decision_support,dimension_count,dimension_contextual_or_better_count,dimension_informative_direct_count,key_claim_count,important_limitation_count
10.1016_j.ecolecon.2019.106432,10.1016_j.ecolecon.2019.106432,200,5341710e-1d45-4844-8ba0-74f3765043b9,gpt-4.1-2025-04-14,ok,,,empirical,experimental,field_experiment,close,exact,exact,efficiency_or_payoff,social efficiency score (ratio of actual group benefits to group benefits under social optimum) | welfare gains over control group | individual and group profits,"pumping hours (extraction behavior) | user type classification (myopic, individual rational, social optimal, excessive, conservative) | risk preferences (Holt-Laury lottery)","The main dependent variable is pumping hours (extraction), but the paper explicitly calculates and reports social efficiency scores and welfare gains, which are payoff-based outcomes. User type and risk preferences are used as moderators.",more_positive,"Externally imposed punishment and reward rules in a groundwater CPR field experiment both significantly increased group efficiency (welfare) compared to a control group with no intervention. Punishment yielded the highest welfare gains, followed by reward, while communication alone had a smaller, non-significant effect. The efficiency gains were robust across rural and urban contexts, and the effect of punishment was not significantly moderated by user type or urbanization.","The paper finds that both externally imposed punishment and reward rules, implemented via random monitoring and sanctions/rewards for exceeding/following optimal extraction, significantly reduce over-extraction of groundwater in a framed field experiment with 600 real-world users. Social efficiency (group payoff relative to the social optimum) increased from 86% in the control to 97% under punishment and 95% under reward, with welfare gains of 8% and 6% over control, respectively (both statistically significant at 1%). Communication alone had a much smaller effect (90% efficiency, 1% gain, not significant). The effect of punishment and reward was not significantly different between rural and urban areas. User types (myopic, rational, social optimal) persisted across treatments, but all treatments crowded out the most pro-social (social optimal) users to some extent. The main outcome is that externally imposed monitoring and sanctioning (punishment) is highly effective at increasing efficiency in this CPR context.","This paper provides strong, directly relevant evidence that, in a dynamic CPR game with real-world users, adding an externally imposed punishment mechanism (random monitoring, monetary penalty for over-extraction) increases group efficiency (payoff/welfare) by a substantial and statistically significant margin compared to a control with no punishment. The effect is robust to user type and urbanization. The game is not a standard linear PGG but is a close CPR variant with continuous extraction, group interdependence, and profit-based payoffs. The punishment cost and technology are specified, and the efficiency gains are quantified. This evidence should increase predicted efficiency for similar games when punishment is enabled, especially when the control efficiency is below the social optimum.",14,12,12,5,7
10.1016_j.ecolecon.2022.107597,10.1016_j.ecolecon.2022.107597,200,82865c11-1017-4ef0-b7c1-2274cead066a,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,close,exact,close,non_payoff_behavior,group extraction (inverse of conservation) | individual extraction,conditional cooperation | behavioral type classification | expectations of others' extraction | intrinsic motivation (proxied by post-intervention behavior) | crowding in/out effects,"The main dependent variable is extraction (number of fish taken), which is inversely related to group conservation and thus to group payoff/efficiency. The paper does not directly report group efficiency as a ratio to the social optimum, but the extraction variable is a direct proxy. No explicit group payoff or total earnings are reported, but the mapping is clear from the game structure.",more_positive,"The paper finds that monetary sanctions (fines) in a CPR game reduce extraction (i.e., increase conservation and group welfare) both during and after the intervention, especially for high fines. The effect is strongest for those who were already extracting less. Public revelation (peer pressure) does not reduce extraction and may even increase it for some subgroups, particularly conditional cooperators, due to the informational effect of revealing high extraction norms. Thus, fines crowd in conservation effort, while public revelation can crowd out conservation among some participants.","In a lab CPR game with 5 players per group and 18 rounds, the introduction of mandates with fines (punishment) for over-extraction significantly reduced extraction (i.e., increased conservation and group welfare) compared to a normative information baseline. High fines had a persistent 'crowd-in' effect on conservation, especially among those who initially extracted the least. Low fines had weaker or no persistent effects. In contrast, a public revelation mechanism (where one player's extraction is revealed each round) did not reduce extraction and led to a 'crowd-out' effect among conditional cooperators, likely because the revealed extractions were higher than expected, shifting descriptive norms upward. The study does not report efficiency as a ratio, but the extraction results map directly to group welfare. Heterogeneity analyses show that the effects of punishment and public revelation depend on behavioral type and prosocial orientation.","This paper provides strong evidence that, in a CPR game with 5 players, continuous extraction choices, no chat, and a known social optimum, the introduction of monetary punishment (especially with high fines) increases group welfare by reducing extraction, both during and after the intervention. The effect is strongest for high fines and among those with low initial extraction. Public revelation mechanisms may backfire, especially among conditional cooperators, if the revealed behavior is less cooperative than expected. For prediction, the presence of monetary punishment (with sufficient magnitude and justification) should be expected to increase efficiency relative to a normative information baseline. The mapping from extraction to efficiency is direct, so these results are highly informative for predicting efficiency outcomes in similar CPR or PGG-like environments.",14,10,10,5,6
10.1016_j.ecolecon.2023.107932,10.1016_j.ecolecon.2023.107932,200,80d80d51-4f84-45b7-9b2a-e746ab83ec3b,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,exact,close,exact,efficiency_or_payoff,individual payoff | group payoff | welfare | Nash and social optimum payoffs,contribution level | voting for institution | cooperative traits | trust | risk aversion,"The main dependent variables are individual and group payoffs under different institutional regimes, as well as voting behavior and contribution levels. Payoff outcomes are explicitly compared across treatments.",mixed,"The paper uses lab-in-the-field experiments with Cambodian farmers to study support for and effects of costly institutions (minimum contribution/tax system and strict enforcement with punishment) in public goods games. Costly institutions increase average contributions compared to costless institutions. However, only the minimum contribution (tax) regime is welfare-enhancing (i.e., increases payoffs/efficiency), while strict enforcement with costly punishment increases contributions but reduces payoffs due to the cost of enforcement. Thus, the effect of punishment-like institutions on efficiency is mixed: positive for minimum contribution (tax) but negative for strict enforcement with costly punishment.","The study finds that costly institutions (minimum contribution/tax and strict enforcement with punishment) are broadly supported by participants, especially those with prior experience of water scarcity. Both types of costly institutions increase average contributions to the public good compared to costless regimes. However, only the minimum contribution (tax) regime leads to higher payoffs and welfare, while strict enforcement with costly punishment increases contributions but does not improve payoffs due to the cost of enforcement. The efficiency of the group (measured as payoff relative to the social optimum) is thus higher under the tax regime but lower under strict enforcement compared to their respective costless counterparts.","This paper provides direct evidence that the effect of introducing costly punishment or enforcement institutions in public goods games depends on the specific design. Minimum contribution (tax) regimes can increase both contributions and efficiency (payoff), while strict enforcement with costly punishment increases contributions but can reduce efficiency due to the cost of enforcement. For prediction, the presence of a costly punishment mechanism does not guarantee higher efficiency; the cost and structure of the institution are critical. Control efficiency (payoff) and the specific institutional design (tax/minimum vs. costly strict punishment) must be considered. The findings are highly relevant for predicting treatment efficiency from game design dimensions, especially regarding the cost and type of punishment or enforcement.",14,8,8,4,7
10.1016_j.ecolecon.2024.108388,10.1016_j.ecolecon.2024.108388,200,3c9274bb-007b-4de2-8dc9-7227faf88a57,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior,group welfare loss (relative to social optimum) | individual and group catch (resource extraction) | remaining fish in pool,destruction assigned to other player (joy-of-destruction) | reciprocity/retaliation behavior | inequality aversion | nastiness (generic hostility),"The main dependent variable is the number of fish destroyed by a participant in the second stage (joy-of-destruction). While group welfare loss and overharvesting are reported, the focus is on hostility/destruction rather than efficiency or total payoff. Efficiency is discussed in terms of welfare loss from overharvesting, but not as a primary outcome.",N/A,"This paper investigates how resource scarcity (endogenous vs. exogenous) affects hostile behavior (destruction) in a dynamic common-pool resource (CPR) game followed by a joy-of-destruction stage. The experiment manipulates whether scarcity is due to overexploitation (endogenous) or low reproduction rates (exogenous). The main finding is that endogenous (human-induced) scarcity increases hostility (destruction), while exogenous (environmental) scarcity reduces it. The study does not directly analyze efficiency or group payoff as a primary outcome, but reports on welfare losses from overharvesting.","The experiment shows that when scarcity is perceived as human-induced (overexploitation), participants are more likely to destroy each other's resources in the subsequent stage, indicating increased hostility. When scarcity is exogenously imposed (low reproduction), destruction is lower, suggesting that environmental scarcity can foster restraint and cooperation. The destruction mechanism is not a standard punishment stage: destruction is costless, partially hidden (due to random 'bear' destruction), and not directly strategic. The study finds that reciprocity (retaliation for overexploitation) is a key driver of destruction, while inequality aversion plays a limited role. Overharvesting is substantial in the CPR game, leading to welfare losses, but the main focus is on behavioral responses (hostility) rather than efficiency or payoff.","This paper provides indirect evidence for the prediction task. While it does not report efficiency outcomes for a standard PGG with or without punishment, it shows that the presence of a destruction (punishment-like) stage increases hostile behavior when scarcity is human-induced, and decreases it when scarcity is exogenous. The destruction mechanism differs from standard costly punishment: it is costless, partially hidden, and not designed to change future behavior. The findings suggest that the effect of punishment-like mechanisms on efficiency may depend on the perceived cause of scarcity and the design of the punishment stage. The paper is most informative for understanding how the framing and cause of scarcity moderate the impact of punishment-like options on group behavior, but does not provide direct data for predicting efficiency changes from enabling punishment in standard PGGs.",14,9,9,5,7
10.1016_j.ecolecon.2024.108438,10.1016_j.ecolecon.2024.108438,200,95b959c8-6930-43dc-b8fb-00a31c02ef5b,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,close,exact,exact,efficiency_or_payoff,average production | disaster risk | expected earnings | compliance with pledges | ambition of pledges,participation in agreements | peer evaluation/reputation points | frequency of joining agreements,"The main dependent variables are production (lower is better for group welfare), disaster risk (probability of zero payoff), and expected earnings. Non-payoff outcomes include participation, ambition, compliance, and peer evaluation, but the primary focus is on payoff-relevant outcomes.",unclear,"The experiment tested whether decentralized, voluntary climate agreements with pledge-and-review, financial penalties, and/or peer evaluation reduce emissions (i.e., improve group welfare/efficiency) in a public bads game. None of the mechanisms—pledges, penalties, or peer evaluation—reduced average production or disaster risk compared to baseline. Compliance with pledges was high, but pledges were not ambitious, so group efficiency did not improve. Financial penalties increased compliance but did not reduce production or improve efficiency, as participants could avoid penalties by not joining or making unambitious pledges.","In a lab experiment with a public bads game (3 players, 18 rounds), the introduction of voluntary pledge-and-review agreements, automatic financial penalties for exceeding pledges, and/or peer evaluation (reputation contest) did not reduce average production or disaster risk compared to baseline. Most participants joined agreements and complied with their pledges, but pledges were not ambitious enough to reduce emissions. Financial penalties increased compliance but did not improve group efficiency, as participants could avoid penalties by not joining or by making unambitious pledges. Peer evaluation did not reduce production and even reduced the ambition of pledges. The results suggest that, in decentralized and voluntary settings, punishment mechanisms do not improve efficiency unless participation and ambition can be enforced.","This paper provides strong evidence that, in a voluntary, decentralized public bads game with 3 players and 18 rounds, adding automatic financial penalties for exceeding pledges does not improve group efficiency or reduce emissions compared to baseline, because participants can avoid penalties by not joining or by making unambitious pledges. Peer evaluation (reputation-based non-monetary punishment) also does not improve efficiency and may reduce ambition. For prediction, this suggests that in similar voluntary, opt-in, pledge-based games, the presence of punishment mechanisms (even if automatic and with high penalty rates) will not increase efficiency unless there are mechanisms to ensure ambitious pledges and broad participation. Control efficiency is a good predictor of treatment efficiency when punishment is voluntary and avoidable.",14,14,14,5,6
10.1016_j.econlet.2006.02.010,10.1016_j.econlet.2006.02.010,200,a249743c-47f1-4bda-b085-06ab91ceef4e,gpt-4.1-2025-04-14,ok,,,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,average discounted payoff | feasible and individually rational payoff profiles | cartel profits (Cournot example),,"The paper is entirely theoretical and focuses on the set of payoff profiles (efficiency, welfare) that can be supported by a new class of punishment strategies in repeated games. No behavioral or non-payoff outcomes are analyzed.",more_positive,"The paper introduces the Asymmetric Finite Punishment (AFP) equilibrium concept for repeated games, showing that with finite, asymmetric punishments (where nondeviators are better off than the deviator during punishment and cooperation resumes after a finite period), a wide set of efficient, cooperative payoff profiles can be supported. This expands the set of sustainable payoffs compared to some more restrictive equilibrium concepts, especially in settings where standard renegotiation-proofness is too demanding.","The paper demonstrates that in repeated games, including social dilemmas and Cournot oligopoly, AFP strategies—where punishment is finite and asymmetric—can sustain any feasible and individually rational payoff profile when players are sufficiently patient. The punishment phase is designed so that nondeviators are always better off than the deviator, and after a finite number of periods, cooperation resumes. This approach is less restrictive than some standard equilibrium refinements and can support efficient outcomes (e.g., cartel profits) even in cases where other concepts (like WRP) cannot. The results are illustrated with examples including the prisoner's dilemma and Cournot oligopoly.","This paper provides strong theoretical support for the idea that finite, asymmetric punishment strategies can sustain efficient, cooperative outcomes in repeated games, even when standard trigger or minimax punishments are not credible or too harsh. For the prediction task, it suggests that the design of the punishment phase (finite duration, asymmetry favoring nondeviators) can be critical for supporting high efficiency, especially as the number of players increases or when renegotiation-proofness is problematic. However, the results are theoretical and do not provide direct quantitative predictions for specific experimental public goods games, but they do indicate that efficiency can be maintained with appropriately designed punishment even in large groups or complex environments.",14,8,5,3,5
10.1016_j.econlet.2007.04.008,10.1016_j.econlet.2007.04.008,200,39f93eeb-eedd-4a3d-a449-b33d705c0ef5,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,exact,none,exact,efficiency_or_payoff,group efficiency (total realized earnings divided by maximum possible earnings) | average group contributions | final MPCR,contribution levels as % of endowment,"The main dependent variables are group efficiency, group contributions, and the evolution of MPCR. No punishment, reward, or sanctioning mechanisms are present or studied.",N/A,"This paper studies a dynamic public goods game in which the marginal per-capita return (MPCR) in each period depends on the group's contributions in the previous period. There is no punishment or reward mechanism. The main finding is that, contrary to standard public goods games, contributions and efficiency do not always decline over time; many groups sustain high contributions and achieve high efficiency, especially when early contributions are high enough to increase the MPCR. The initial MPCR (high or low) does not significantly affect long-run efficiency or contributions.","The experiment demonstrates that in a dynamic public goods game where the MPCR increases or decreases based on group contributions, many groups are able to sustain high contributions and achieve high efficiency, even in the absence of punishment or reward mechanisms. The average efficiency is .671 in the high initial MPCR treatment and .632 in the low initial MPCR treatment, both substantially above the efficiency that would result from full free-riding. There is substantial heterogeneity: some groups converge to high contributions and high MPCR, while others decline to low contributions. The initial MPCR does not significantly affect long-run outcomes.","This paper provides a baseline for the efficiency of dynamic public goods games without punishment or reward. It shows that, in such settings, efficiency can be substantially higher than in standard static public goods games, due to the dynamic feedback of contributions on the MPCR. For the downstream prediction task, this paper is useful for estimating control (no-punishment) efficiency in dynamic PGGs, but it does not provide any evidence about the effect of punishment, as no punishment or sanctioning mechanism is present or discussed experimentally. Thus, it cannot directly inform predictions about the efficiency impact of enabling punishment, but it does suggest that dynamic feedback mechanisms can themselves sustain high efficiency in some groups.",14,7,7,3,4
10.1016_j.econlet.2007.09.048,10.1016_j.econlet.2007.09.048,200,3304a1c3-3ce8-4cd9-aa50-f835fe8349ec,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,,contribution rate | punishment frequency | punishment points assigned,"The paper reports on average contributions to the public good and punishment behavior, but does not directly report group efficiency, total payoff, or welfare. The closest reported outcomes are contribution rates and punishment assigned.",N/A,"This paper experimentally investigates the effect of stake size on cooperation and punishment in a one-shot linear public goods game, both with and without a punishment stage. The main finding is that increasing the stake size does not significantly affect average contributions or the level of punishment. The study uses a between-subjects design with two stake levels and reports no significant differences in cooperation or punishment between the low and high stake treatments. The paper does not directly report efficiency or group payoff outcomes.","The experiment finds that increasing the monetary stakes in a one-shot public goods game, both with and without punishment, does not significantly affect the average contribution rate or the frequency and intensity of punishment. The presence of a punishment stage increases average contributions compared to the no-punishment condition, but this effect is not moderated by stake size. The study does not report group efficiency or total payoff, so the direct effect of punishment on efficiency cannot be determined from this paper.","This paper provides direct evidence on the design of public goods games with and without punishment, including group size, MPCR, punishment cost and technology, and the absence of communication. However, it does not report efficiency or group payoff, so it cannot be used to directly predict the effect of punishment on efficiency. It does confirm that, in this design, punishment increases average contributions, and that this effect is robust to stake size. For prediction tasks, the paper supports the idea that punishment increases cooperation, but does not provide direct evidence on efficiency outcomes.",14,10,10,3,4
10.1016_j.econlet.2008.12.012,10.1016_j.econlet.2008.12.012,200,652ca4df-41a0-4bc0-b333-e39c618f58cf,gpt-4.1-2025-04-14,ok,,,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,group formation sustainability | cooperative equilibrium existence | individual and group welfare (payoff) under different incentive mechanisms,cooperation | defection | punishment and reward strategies,"The paper is theoretical and focuses on the conditions under which cooperation (and thus group efficiency/welfare) can be sustained in a repeated three-player prisoner's dilemma with punishment and/or reward mechanisms. Outcomes are modeled as equilibrium payoffs and sustainability of cooperation, not as empirical measurements.",more_positive,"This theoretical paper demonstrates that both punishment (collective Nash reversion) and reward (transfers) mechanisms can sustain cooperation and thus higher group efficiency in repeated three-player prisoner's dilemma settings, even when bilateral incentive constraints would otherwise preclude cooperation. The presence of these mechanisms expands the set of parameters (discount factors, external benefits) under which full cooperation and efficient group outcomes are possible.","The paper proves that in a repeated three-player prisoner's dilemma, the introduction of either collective punishment (Nash reversion by all after any defection) or reward mechanisms (transfers contingent on cooperation) can sustain full cooperation as a subgame perfect equilibrium, even when bilateral incentive compatibility constraints are violated. This means that group efficiency (welfare) can be maintained at the cooperative level under broader conditions than in the absence of such mechanisms. The results are general and apply to settings where players interact repeatedly and can observe each other's actions, and where the game is either infinite or has an unknown end point.","This paper provides strong theoretical support that enabling punishment (or reward) mechanisms in repeated social dilemma games can increase group efficiency by sustaining cooperation, even when cooperation would not be sustainable without such mechanisms. For prediction tasks, the presence of a punishment mechanism (especially collective punishment with Nash reversion) should be expected to increase efficiency relative to a control without punishment, provided players are sufficiently patient (high discount factor) and can observe actions. The model is adjacent to public goods games (it is a repeated three-player prisoner's dilemma), so the results are most directly applicable to small-group, repeated, fully observable settings. The paper does not provide empirical effect sizes or parameterized predictions, but it does establish that the direction of effect is positive for efficiency when punishment is enabled.",14,10,10,4,5
10.1016_j.econlet.2009.08.024,10.1016_j.econlet.2009.08.024,200,497314a4-d203-4484-92ac-599810eea7ce,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior,,frequency of destruction choices | amount of destruction inflicted | destruction as a function of endowment | destruction as a function of observed destruction,"The paper focuses on the frequency and amount of anti-social destruction (money burning) in a two-player game. No group payoff, efficiency, or welfare outcomes are reported. The main dependent variables are behavioral: how often and how much subjects destroy the other player's endowment.",N/A,"This paper introduces the 'joy-of-destruction' game, where two players can costlessly destroy each other's endowment. The study finds that when destruction is hidden (i.e., not perfectly attributable), anti-social destruction is common, but when destruction is open (i.e., perfectly attributable), destruction is rare and fades quickly. The game is not a public goods game or a punishment game in the standard sense, and there is no efficiency or group payoff outcome reported. The findings are about anti-social behavior and the willingness to harm others without material gain, not about cooperation or efficiency in social dilemmas.","The experiment demonstrates that a substantial fraction of subjects are willing to destroy the other player's endowment when their actions are hidden, but not when they are observable. The presence of anonymity increases anti-social behavior. The study does not report on efficiency, group payoff, or welfare, and is not a public goods or punishment game. The findings are relevant for understanding anti-social punishment and spite, but do not provide direct evidence about the effect of punishment on efficiency in public goods games.","This paper does not provide direct evidence for predicting the effect of punishment on efficiency in public goods games or similar environments. The game studied is a two-player, anti-social destruction game with no cooperation or group payoff structure. The main insight is that anonymity increases anti-social behavior, but this is not directly transferable to the efficiency effects of punishment in public goods games. The findings may be contextually relevant for understanding anti-social punishment or spiteful behavior, but do not inform the prediction task in a quantitative or directly comparable way.",14,9,9,3,5
10.1016_j.econlet.2012.04.048,10.1016_j.econlet.2012.04.048,200,18af848e-5df9-46ae-8d5c-63920d6e57d9,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,adjacent,exact,weak,non_payoff_behavior,,punishment assigned (deduction points) | frequency of punishment by cooperators and defectors | sensitivity of punishment to intentionality of defection | cooperation rate,"The main dependent variables are punishment behavior (deduction points assigned) and the frequency of punishment, broken down by player type (cooperator/defector) and intentionality of the target's action. No group payoff, efficiency, or welfare outcomes are reported or analyzed.",N/A,"This paper studies motives for punishment in a three-player prisoners' dilemma with a punishment stage, focusing on whether punishment is driven by fairness, retaliation, or spite. The main outcomes are punishment behaviors, not efficiency or group payoff. The experiment manipulates whether defection is intentional or due to chance, and finds that cooperators punish intentional defectors more than unintentional ones, while defectors punish regardless of intentions. No efficiency or group payoff outcomes are reported.","The experiment finds that cooperators and defectors differ in their motives for punishment. Cooperators punish defectors more when defection is intentional, suggesting a role for retaliation, but still punish unintentional defectors, indicating some concern for payoff inequality. Defectors punish both cooperators and defectors equally, regardless of intentions, consistent with spiteful motives. The study does not report on efficiency, group payoff, or welfare outcomes, so it does not provide direct evidence about the effect of punishment on efficiency.","This paper does not provide direct evidence for predicting the effect of punishment on efficiency or group payoff in public goods or prisoners' dilemma games. Its findings are relevant for understanding the motives behind punishment and how they may depend on the intentionality of actions, but it does not report or analyze efficiency or payoff outcomes. Therefore, it offers little direct support for the downstream prediction task, except to suggest that punishment behavior may depend on player type and perceived intentions, which could indirectly affect efficiency in other designs.",14,11,11,4,4
10.1016_j.econlet.2012.08.002,10.1016_j.econlet.2012.08.002,200,8fc4aa12-3528-4748-80db-e7f8de2a9986,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,adjacent,exact,close,mixed,average earnings,cooperation rate | punishment frequency and amount (on cooperators and defectors) | frequency of antisocial punishment | conditional cooperation after punishment,"The main payoff-related outcome is average earnings per person. The primary behavioral outcome is cooperation rate. Punishment behavior is analyzed in detail. Efficiency per se is not directly reported, but average earnings are compared across treatments.",less_positive,"Introducing third-party approval for peer punishment in a repeated prisoner's dilemma reduces both cooperation rates and average earnings compared to direct peer punishment. The third party reduces antisocial punishment but also reduces punishment of defectors, leading to lower cooperation and lower group payoffs.","The experiment compares two treatments in a repeated prisoner's dilemma: (1) baseline, where players can directly punish each other, and (2) TPA (third-party approval), where a third party must approve any punishment before it is implemented. The TPA treatment results in significantly lower cooperation rates (0.47 vs. 0.70) and marginally significantly lower average earnings (23.52 vs. 25.30 tokens per period) compared to the baseline. Third-party approval reduces antisocial punishment but also reduces punishment of defectors, which appears to undermine the positive effect of punishment on cooperation. The study suggests that, in settings where antisocial punishment is rare, requiring third-party approval for punishment can reduce both cooperation and group welfare.","This paper provides direct evidence that, in a repeated prisoner's dilemma with peer punishment, introducing a third-party approval step for punishment reduces both cooperation and average earnings compared to direct peer punishment. For prediction tasks, this suggests that adding procedural hurdles or external approval to punishment mechanisms may decrease the efficiency gains typically associated with peer punishment, especially when antisocial punishment is infrequent. The findings are most directly relevant to adjacent settings (prisoner's dilemma rather than public goods), but the mechanism—peer punishment with and without third-party approval—maps closely to PGG-like environments. The control (baseline) efficiency is higher than in the treatment with third-party approval, indicating a less positive effect of punishment on efficiency when third-party approval is required.",14,8,8,3,5
10.1016_j.econlet.2012.08.014,10.1016_j.econlet.2012.08.014,200,eb70e88a-a490-45a6-b13c-a9e601754a53,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior,,cooperation rate in first stage (between X1 and X2) | cooperation rate in second stage (between M and X1/X2) | logistic regression of cooperation likelihood,"The main dependent variables are cooperation rates in various roles and stages. No direct analysis of group efficiency, total payoff, or welfare is reported. Some descriptive statistics on earnings are provided, but not analyzed as outcomes.",N/A,"This paper experimentally studies whether the presence of a third party (M), who can observe the actions of two players (X1 and X2) in a one-shot prisoner's dilemma and will interact with them in future repeated PD games, increases cooperation between X1 and X2. The main finding is that cooperation rates are higher when M can observe X1 and X2's actions, consistent with the threat of future punishment by M facilitating cooperation. The study does not directly analyze efficiency or group payoff, but the results suggest that third-party observation and the possibility of future interaction can increase cooperation in social dilemmas.","The experiment shows that when a third party (M) can observe the actions of two players in a one-shot PD, the cooperation rate between those two players is significantly higher than when M cannot observe. This is attributed to the threat of future punishment by M in subsequent repeated PD games. The effect is measured in terms of cooperation rates, not efficiency or total payoff. The study provides evidence that third-party observation and the possibility of future sanctioning can facilitate cooperation, but does not provide direct evidence on efficiency or welfare outcomes.","This paper provides indirect evidence that introducing a third-party observer with future sanctioning power can increase cooperation rates in a prisoner's dilemma setting. However, because the study does not use a public goods game or directly measure efficiency or group payoff, its value for predicting efficiency effects of punishment in PGG-like environments is limited. The main implication is that third-party monitoring and the threat of future punishment can be a strong facilitator of cooperation, which may translate to higher efficiency in related settings, but this is not directly tested. The design is adjacent to PGGs and does not manipulate standard punishment mechanisms (e.g., costly punishment within the group), so caution is warranted in transferring the findings.",14,5,5,3,5
10.1016_j.econlet.2014.05.017,10.1016_j.econlet.2014.05.017,200,fb0eb606-3483-4583-bbb1-14da5654ec51,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,,"conditional punishment assigned | unconditional punishment assigned | classification of punishment types (free-rider, conditional punisher, pro-social, anti-social) | relation between others' punishment and own punishment | cooperation/contribution decisions","The paper focuses on how individuals' punishment decisions depend on others' punishment decisions (conditional punishment), and classifies types of punishers. It does not report group efficiency, total payoff, welfare, or surplus. Payoff is discussed only as a mechanism or in the context of punishment cost/impact, not as an outcome.",N/A,"This paper experimentally studies conditional punishment in a standard voluntary contribution mechanism (VCM) public goods game with a punishment stage. It classifies individuals by how their punishment of a target depends on the punishment assigned by others. The main findings are that punishment is, on average, positively proportional to the punishment assigned by others, and that there is substantial heterogeneity in conditional punishment types. The study does not report efficiency or group payoff outcomes.","The experiment finds that individuals' punishment of non-cooperators increases with the amount of punishment assigned by other group members. Most subjects are 'free-riders' who do not punish, but about 23% are conditional punishers who increase punishment as others do. There is also a distinction between pro-social and anti-social conditional punishers. The study provides evidence that conditional punishment types are heterogeneous and that these types can predict unconditional punishment behavior. However, the paper does not report on efficiency, group payoff, or welfare outcomes.","This paper provides detailed behavioral evidence on the heterogeneity and conditionality of punishment in a standard PGG with punishment, but does not report efficiency or payoff outcomes. It is useful for understanding the mechanisms and types of punishment behavior that may underlie efficiency effects in similar games, but cannot be used directly to predict the effect of punishment on efficiency. For prediction tasks focused on efficiency, this paper is only indirectly informative, suggesting that the presence of conditional punishers may amplify punishment effects when others also punish, but the net effect on efficiency is not measured.",14,7,7,5,5
10.1016_j.econlet.2016.12.025,10.1016_j.econlet.2016.12.025,200,a8906deb-0a17-46bb-85e4-75030ff103ca,gpt-4.1-2025-04-14,ok,,,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,total earnings | expected period earnings | equilibrium payoffs | continuation payoffs,cooperation | defection | punishment (contagious punishment process),"The paper is a theoretical analysis of repeated asymmetric Prisoner's Dilemma games with random productivity shocks. The main outcomes are payoff-based (total earnings, equilibrium payoffs), with behavioral outcomes (cooperation, defection, punishment) discussed as mechanisms.",more_positive,"This theoretical paper analyzes repeated games among heterogeneous strangers, where players receive random productivity shocks and efficient play may require asymmetric cooperation (some players defecting is efficient). The paper shows that contagious punishment strategies can support high payoffs (efficiency) even when occasional defections are part of the efficient outcome, provided certain conditions on patience, punishment severity, and heterogeneity are met. The analysis provides closed-form expressions for continuation payoffs and characterizes when punishment can sustain efficient outcomes.","The paper finds that in repeated games with heterogeneous players (random productivity), efficient outcomes may require some players to defect in certain matches. In such settings, standard public monitoring is insufficient to sustain efficiency, but contagious punishment strategies—where players switch to permanent defection after observing a deviation—can support high payoffs if the group is sufficiently patient, punishment is severe enough, and productivity differences are not too large. The paper provides explicit conditions under which these strategies are equilibrium and efficiency is achieved, and derives closed-form expressions for continuation payoffs. Thus, punishment (in the form of contagious, community-based sanctions) can enable high efficiency even in complex, asymmetric environments.","This paper provides theoretical support for the idea that punishment mechanisms (specifically, contagious punishment) can increase efficiency in repeated social dilemma games, even when the efficient outcome involves some defections due to heterogeneity. The results are most directly applicable to repeated Prisoner's Dilemma games with random productivity, but the mechanisms and equilibrium conditions are relevant for predicting when punishment will improve efficiency in public-goods-like environments with heterogeneity. The paper does not provide empirical estimates or direct mappings to standard PGG parameters, but it does clarify that punishment can sustain high efficiency if players are patient, punishment is strong, and heterogeneity is moderate. For prediction, this suggests that enabling punishment in heterogeneous repeated games is likely to increase efficiency, provided the punishment is sufficiently severe and the group is not too heterogeneous.",14,8,8,4,5
