custom_id,paper_type_primary,paper_type_empirical,paper_type_experimental,relevance_pgg_or_variant,relevance_punishment_or_sanctions,relevance_efficiency_or_related_payoff_outcome,outcomes_primary_outcome_type,dimension_contextual_or_better_count,dimension_informative_direct_count
10.1002_soej.12626,empirical,experimental,lab_experiment,adjacent,adjacent,exact,mixed,6,6
10.1006_game.1994.1035,empirical,experimental,lab_experiment,adjacent,close,adjacent,non_payoff_behavior,9,5
10.1006_game.1998.0638,empirical,experimental,lab_experiment,adjacent,adjacent,close,mixed,7,7
10.1006_jeth.2000.2655,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,6,5
10.1006_jtbi.1996.0286,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,6,6
10.1006_jtbi.1998.0685,theory,N/A,N/A,adjacent,close,exact,efficiency_or_payoff,8,0
10.1006_jtbi.2000.1089,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,5,5
10.1006_jtbi.2000.2111,theory,N/A,N/A,exact,exact,exact,efficiency_or_payoff,8,8
10.1006_jtbi.2000.2202,theory,N/A,N/A,exact,exact,exact,efficiency_or_payoff,7,7
10.1006_jtbi.2001.2406,theory,N/A,N/A,exact,close,exact,efficiency_or_payoff,6,6
10.1006_jtbi.2003.3104,theory,N/A,N/A,adjacent,close,exact,efficiency_or_payoff,2,0
10.1006_obhd.1995.1015,empirical,experimental,lab_experiment,close,exact,adjacent,non_payoff_behavior,12,11
10.1007_7854_2016_445,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,7,0
10.1007_978-0-387-72596-3_7,theory,N/A,N/A,exact,exact,close,mixed,11,3
10.1007_978-0-387-72596-3_8,empirical,experimental,lab_experiment,close,exact,adjacent,non_payoff_behavior,8,8
10.1007_978-3-319-29354-7_9,theory,N/A,N/A,close,adjacent,adjacent,non_payoff_behavior,5,0
10.1007_978-3-540-85436-4,theory,N/A,N/A,adjacent,close,adjacent,non_payoff_behavior,2,0
10.1007_978-3-540-85436-4_5,theory,N/A,N/A,close,exact,close,non_payoff_behavior,11,8
10.1007_978-3-642-02624-9_8,theory,N/A,N/A,close,exact,adjacent,non_payoff_behavior,7,0
10.1007_978-3-642-13983-3_11,empirical,experimental,lab_experiment,exact,exact,exact,mixed,12,12
10.1007_978-3-642-18137-5_14,theory,N/A,N/A,close,close,adjacent,non_payoff_behavior,4,0
10.1007_978-981-10-6439-5_8,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,5,0
10.1007_978-981-13-2769-8_2,theory,N/A,N/A,exact,exact,exact,efficiency_or_payoff,7,6
10.1007_bf01074955,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,5,4
10.1007_s00182-014-0419-9,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,7,7
10.1007_s00182-015-0520-8,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,4,2
10.1007_s001820050100,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,11,11
10.1007_s001820050124,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,6,3
10.1007_s00191-004-0212-1,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,8,8
10.1007_s00191-009-0162-8,theory,N/A,N/A,close,exact,exact,efficiency_or_payoff,6,5
10.1007_s00191-010-0204-2,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,8,8
10.1007_s00191-013-0306-8,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,2,0
10.1007_s00191-013-0328-2,theory,N/A,N/A,exact,adjacent,exact,efficiency_or_payoff,9,9
10.1007_s00191-014-0375-3,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,5,4
10.1007_s00191-014-0387-z,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,10,4
10.1007_s00191-020-00720-5,theory,N/A,N/A,close,exact,exact,efficiency_or_payoff,8,8
10.1007_s00191-021-00739-2,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,2,0
10.1007_s00199-005-0633-6,empirical,experimental,lab_experiment,adjacent,close,close,mixed,7,6
10.1007_s00199-007-0212-0,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,9,9
10.1007_s00199-008-0421-1,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,6,6
10.1007_s00199-015-0909-4,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,6,5
10.1007_s00199-018-1146-4,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior,6,6
10.1007_s00265-004-0782-9,empirical,experimental,lab_experiment,exact,adjacent,exact,efficiency_or_payoff,9,9
10.1007_s00265-004-0885-3,empirical,experimental,lab_experiment,exact,adjacent,adjacent,non_payoff_behavior,10,10
10.1007_s00265-014-1741-8,empirical,experimental,lab_experiment,close,close,close,mixed,7,7
10.1007_s00265-017-2330-4,theory,N/A,N/A,adjacent,close,adjacent,non_payoff_behavior,6,2
10.1007_s00265-019-2667-y,theory,N/A,N/A,close,close,exact,efficiency_or_payoff,3,0
10.1007_s00265-023-03380-0,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,6,6
10.1007_s00267-023-01825-w,empirical,experimental,lab_experiment,close,adjacent,exact,efficiency_or_payoff,7,7
10.1007_s00285-010-0363-7,theory,N/A,N/A,exact,adjacent,exact,efficiency_or_payoff,7,6
10.1007_s00355-010-0493-2,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,8,4
10.1007_s00355-014-0841-8,empirical,experimental,field_experiment,close,exact,adjacent,non_payoff_behavior,13,13
10.1007_s00355-015-0884-5,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,9,9
10.1007_s00355-018-1130-8,empirical,experimental,lab_experiment,close,adjacent,adjacent,non_payoff_behavior,10,10
10.1007_s00355-020-01284-w,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,10,10
10.1007_s00355-021-01363-6,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,10,10
10.1007_s00355-025-01604-y,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,8,7
10.1007_s00406-013-0392-5,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,7,7
10.1007_s10058-012-0120-z,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,10,10
10.1007_s10144-013-0423-0,theory,N/A,N/A,close,exact,exact,efficiency_or_payoff,5,1
10.1007_s10458-010-9122-9,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,7,6
10.1007_s10458-016-9338-4,theory,N/A,N/A,exact,adjacent,exact,efficiency_or_payoff,3,3
10.1007_s10458-025-09698-5,empirical,experimental,other_experiment,adjacent,exact,exact,efficiency_or_payoff,7,7
10.1007_s10479-017-2412-8,empirical,experimental,lab_experiment,adjacent,exact,close,mixed,13,12
10.1007_s10539-004-5155-2,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,4,0
10.1007_s10539-007-9065-y,theory,N/A,N/A,exact,exact,exact,efficiency_or_payoff,6,3
10.1007_s10539-012-9327-1,theory,N/A,N/A,exact,exact,exact,efficiency_or_payoff,6,2
10.1007_s10539-012-9341-3,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,2,0
10.1007_s10539-013-9401-3,theory,N/A,N/A,adjacent,close,adjacent,N/R,6,0
10.1007_s10539-023-09936-8,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,7,7
10.1007_s10551-011-0795-z,empirical,experimental,lab_experiment,close,adjacent,adjacent,non_payoff_behavior,5,5
10.1007_s10551-020-04664-5,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,3,0
10.1007_s10551-024-05865-y,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,10,10
10.1007_s10551-025-05998-8,empirical,experimental,lab_experiment,exact,exact,close,mixed,10,10
10.1007_s10584-010-0014-4,theory,N/A,N/A,close,close,adjacent,non_payoff_behavior,2,0
10.1007_s10584-016-1838-3,theory,N/A,N/A,close,adjacent,adjacent,non_payoff_behavior,9,1
10.1007_s10588-008-9053-z,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,7,5
10.1007_s10588-009-9056-4,theory,N/A,N/A,close,exact,adjacent,non_payoff_behavior,7,7
10.1007_s10588-013-9170-1,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,5,2
10.1007_s10588-015-9205-x,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,2,0
10.1007_s10588-017-9244-6,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,8,5
10.1007_s10611-018-9768-9,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,5,0
10.1007_s10614-008-9154-2,theory,N/A,N/A,close,exact,exact,efficiency_or_payoff,8,8
10.1007_s10614-020-10003-7,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,4,4
10.1007_s10614-020-10017-1,theory,N/A,N/A,close,exact,exact,efficiency_or_payoff,7,6
10.1007_s10640-006-9046-7,theory,N/A,N/A,close,exact,exact,efficiency_or_payoff,7,7
10.1007_s10640-015-9879-z,empirical,experimental,lab_experiment,exact,adjacent,close,non_payoff_behavior,7,7
10.1007_s10640-017-0126-7,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,12,12
10.1007_s10640-020-00419-y,empirical,experimental,lab_experiment,close,exact,adjacent,non_payoff_behavior,9,9
10.1007_s10640-020-00526-w,empirical,experimental,field_experiment,adjacent,adjacent,adjacent,non_payoff_behavior,4,0
10.1007_s10640-021-00591-9,empirical,experimental,field_experiment,adjacent,exact,exact,efficiency_or_payoff,8,8
10.1007_s10640-023-00759-5,empirical,experimental,field_experiment,close,exact,exact,efficiency_or_payoff,10,10
10.1007_s10640-025-00970-6,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,10,10
10.1007_s10645-008-9094-1,empirical,experimental,lab_experiment,exact,exact,close,mixed,10,10
10.1007_s10657-016-9532-5,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,1,0
10.1007_s10657-019-09615-8,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,10,10
10.1007_s10663-024-09623-1,empirical,experimental,lab_experiment,close,adjacent,adjacent,non_payoff_behavior,7,7
10.1007_s10668-024-05335-5,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,8,8
10.1007_s10683-005-0869-9,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,4,2
10.1007_s10683-006-9153-x,empirical,experimental,lab_experiment,close,adjacent,exact,efficiency_or_payoff,10,10
10.1007_s10683-007-9171-3,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,10,10
10.1007_s10683-010-9257-1,empirical,experimental,lab_experiment,exact,exact,exact,mixed,10,7
10.1007_s10683-010-9266-0,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,9,9
10.1007_s10683-010-9267-z,empirical,experimental,lab_experiment,adjacent,adjacent,exact,efficiency_or_payoff,8,8
10.1007_s10683-011-9272-x,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,8,0
10.1007_s10683-011-9281-9,empirical,experimental,lab_experiment,close,adjacent,exact,efficiency_or_payoff,6,6
10.1007_s10683-011-9292-6,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,10,10
10.1007_s10683-013-9354-z,empirical,experimental,lab_experiment,adjacent,exact,exact,efficiency_or_payoff,10,10
10.1007_s10683-013-9360-1,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,9,9
10.1007_s10683-013-9367-7,empirical,experimental,lab_experiment,close,exact,close,mixed,10,10
10.1007_s10683-013-9389-1,empirical,experimental,lab_experiment,exact,adjacent,adjacent,non_payoff_behavior,8,8
10.1007_s10683-014-9393-0,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,10,10
10.1007_s10683-014-9402-3,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,11,11
10.1007_s10683-014-9405-0,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,9,9
10.1007_s10683-015-9452-1,empirical,experimental,field_experiment,adjacent,exact,adjacent,non_payoff_behavior,8,8
10.1007_s10683-015-9466-8,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,10,10
10.1007_s10683-017-9527-2,empirical,experimental,lab_experiment,exact,exact,exact,mixed,11,11
10.1007_s10683-017-9539-y,empirical,experimental,lab_experiment,close,adjacent,exact,efficiency_or_payoff,5,5
10.1007_s10683-018-9592-1,empirical,experimental,lab_experiment,exact,close,exact,efficiency_or_payoff,10,10
10.1007_s10683-019-09609-y,empirical,experimental,lab_experiment,exact,close,exact,efficiency_or_payoff,10,10
10.1007_s10683-019-09629-8,empirical,experimental,lab_experiment,exact,exact,exact,mixed,10,2
10.1007_s10683-020-09652-0,empirical,experimental,lab_experiment,adjacent,adjacent,exact,efficiency_or_payoff,8,8
10.1007_s10683-021-09737-4,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior,7,7
10.1007_s10683-022-09758-7,empirical,experimental,lab_experiment,adjacent,close,close,mixed,9,9
10.1007_s10816-013-9186-3,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,2,0
10.1007_s10816-013-9194-3,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,6,2
10.1007_s10955-012-0661-0,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,8,6
10.1007_s10955-012-0679-3,theory,N/A,N/A,close,adjacent,adjacent,non_payoff_behavior,1,0
10.1007_s10955-018-2012-2,theory,N/A,N/A,close,exact,close,mixed,6,6
10.1007_s11031-014-9395-4,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,8,8
10.1007_s11047-016-9546-5,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,6,2
10.1007_s11071-019-05010-9,theory,N/A,N/A,exact,adjacent,exact,efficiency_or_payoff,5,4
10.1007_s11071-020-05965-0,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,6,6
10.1007_s11071-023-08297-x,theory,N/A,N/A,exact,exact,close,non_payoff_behavior,6,6
10.1007_s11127-006-9075-3,empirical,experimental,lab_experiment,close,exact,close,non_payoff_behavior,9,9
10.1007_s11127-007-9269-3,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,3,1
10.1007_s11127-010-9665-y,empirical,experimental,lab_experiment,close,adjacent,exact,efficiency_or_payoff,6,6
10.1007_s11127-016-0319-6,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,10,10
10.1007_s11127-018-0622-5,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,5,3
10.1007_s11127-020-00868-5,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,10,10
10.1007_s11127-021-00925-7,empirical,experimental,lab_experiment,adjacent,close,close,non_payoff_behavior,8,8
10.1007_s11211-008-0064-1,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,4,0
10.1007_s11211-017-0300-7,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,11,11
10.1007_s11229-022-03743-6,theory,N/A,N/A,adjacent,exact,close,non_payoff_behavior,8,8
10.1007_s11238-004-3672-8,empirical,experimental,lab_experiment,adjacent,exact,exact,efficiency_or_payoff,8,8
10.1007_s11238-013-9356-5,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,12,12
10.1007_s11238-013-9382-3,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,8,8
10.1007_s11238-015-9527-7,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,4,0
10.1007_s11238-016-9572-x,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,11,11
10.1007_s11238-021-09864-7,empirical,experimental,lab_experiment,adjacent,exact,exact,efficiency_or_payoff,11,11
10.1007_s11238-022-09897-6,empirical,experimental,lab_experiment,adjacent,exact,exact,efficiency_or_payoff,11,11
10.1007_s11238-023-09929-9,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,8,8
10.1007_s11238-023-09931-1,empirical,experimental,lab_experiment,adjacent,exact,exact,efficiency_or_payoff,10,10
10.1007_s11238-024-09977-9,empirical,experimental,lab_experiment,adjacent,exact,exact,efficiency_or_payoff,9,9
10.1007_s11245-014-9294-z,theory,N/A,N/A,close,exact,exact,efficiency_or_payoff,3,0
10.1007_s11269-017-1661-2,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,8,1
10.1007_s11284-006-0070-4,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,3,0
10.1007_s11284-006-0163-0,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,2,0
10.1007_s11284-013-1066-5,theory,N/A,N/A,adjacent,close,close,non_payoff_behavior,7,2
10.1007_s11403-007-0027-x,theory,N/A,N/A,exact,exact,close,non_payoff_behavior,7,6
10.1007_s11403-015-0146-8,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,5,5
10.1007_s11403-017-0195-2,theory,N/A,N/A,close,exact,adjacent,non_payoff_behavior,6,3
10.1007_s11403-022-00363-8,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,13,13
10.1007_s11427-010-0007-6,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,2,0
10.1007_s11427-010-4016-2,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,2,2
10.1007_s11432-010-4145-z,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,9,7
10.1007_s11432-023-4170-3,theory,N/A,N/A,adjacent,exact,close,non_payoff_behavior,5,5
10.1007_s11538-024-01344-7,theory,N/A,N/A,exact,close,exact,efficiency_or_payoff,10,9
10.1007_s11538-025-01422-4,theory,N/A,N/A,close,exact,exact,efficiency_or_payoff,4,4
10.1007_s11558-025-09594-3,empirical,experimental,lab_experiment,exact,exact,exact,mixed,10,10
10.1007_s11846-016-0209-9,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior,12,12
10.1007_s12064-024-00432-5,theory,N/A,N/A,exact,exact,exact,efficiency_or_payoff,5,5
10.1007_s12110-002-1012-7,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,9,9
10.1007_s12110-002-1016-3,empirical,observational,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,4,0
10.1007_s12110-005-1000-9,empirical,observational,N/A,adjacent,exact,adjacent,non_payoff_behavior,9,3
10.1007_s12110-009-9072-6,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,7,7
10.1007_s12110-012-9136-x,empirical,experimental,other_experiment,close,exact,adjacent,non_payoff_behavior,12,12
10.1007_s12110-017-9298-7,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,3,0
10.1007_s12110-024-09483-5,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,9,9
10.1007_s12144-019-0129-3,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,6,6
10.1007_s12144-023-04746-3,empirical,experimental,lab_experiment,adjacent,close,adjacent,non_payoff_behavior,7,7
10.1007_s12144-023-05029-7,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,10,10
10.1007_s12144-024-06961-y,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,10,10
10.1007_s13235-010-0001-4,theory,N/A,N/A,exact,exact,exact,efficiency_or_payoff,5,4
10.1007_s13235-011-0020-9,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,7,5
10.1007_s13235-013-0094-7,theory,N/A,N/A,exact,exact,exact,efficiency_or_payoff,8,8
10.1007_s13235-017-0230-x,theory,N/A,N/A,adjacent,close,exact,efficiency_or_payoff,5,3
10.1007_s13235-019-00339-7,theory,N/A,N/A,exact,exact,exact,efficiency_or_payoff,4,4
10.1007_s13235-022-00485-5,theory,N/A,N/A,exact,adjacent,adjacent,non_payoff_behavior,4,4
10.1007_s13235-023-00533-8,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,2,2
10.1007_s13235-025-00619-5,theory,N/A,N/A,exact,adjacent,adjacent,non_payoff_behavior,3,0
10.1007_s13280-019-01284-w,theory,N/A,N/A,adjacent,adjacent,adjacent,N/R,4,0
10.1007_s40305-021-00350-z,theory,N/A,N/A,exact,exact,close,non_payoff_behavior,10,0
10.1007_s40503-016-0035-0,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,10,10
10.1007_s40750-020-00143-3,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,10,10
10.1007_s40822-020-00144-3,empirical,experimental,lab_experiment,close,exact,adjacent,non_payoff_behavior,8,8
10.1007_s40881-021-00101-z,empirical,experimental,lab_experiment,adjacent,adjacent,close,mixed,8,8
10.1007_s40881-023-00137-3,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,8,7
10.1007_s40881-023-00153-3,empirical,experimental,lab_experiment,exact,exact,close,mixed,11,11
10.1007_s40881-023-00157-z,empirical,observational,N/A,exact,exact,adjacent,non_payoff_behavior,11,0
10.1007_s40881-023-00159-x,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,11,11
10.1007_s40888-022-00287-3,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,9,9
10.1007_s41412-019-00093-6,empirical,experimental,lab_experiment,close,adjacent,exact,efficiency_or_payoff,10,10
10.1007_s42001-019-00049-5,theory,N/A,N/A,exact,adjacent,adjacent,non_payoff_behavior,8,8
10.1016_0162-3095(92)90032-y,theory,N/A,N/A,exact,exact,close,efficiency_or_payoff,6,6
10.1016_0165-1889(94)00848-1,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,7,5
10.1016_0272-4944(95)90005-5,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,4,4
10.1016_0303-2647(96)01604-8,theory,N/A,N/A,close,adjacent,adjacent,non_payoff_behavior,8,0
10.1016_b978-0-12-404681-8.00010-8,theory,N/A,N/A,exact,close,adjacent,non_payoff_behavior,11,0
10.1016_j.actpsy.2020.103055,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,5,5
10.1016_j.actpsy.2023.103957,empirical,experimental,lab_experiment,close,exact,adjacent,non_payoff_behavior,5,4
10.1016_j.actpsy.2024.104608,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,9,9
10.1016_j.actpsy.2025.105088,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior,7,5
10.1016_j.agsy.2015.11.012,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,9,9
10.1016_j.amc.2015.01.040,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,7,7
10.1016_j.amc.2017.04.017,theory,N/A,N/A,exact,adjacent,adjacent,non_payoff_behavior,5,5
10.1016_j.amc.2017.08.049,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,6,6
10.1016_j.amc.2018.01.045,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,2,2
10.1016_j.amc.2018.02.017,theory,N/A,N/A,adjacent,exact,exact,efficiency_or_payoff,6,5
10.1016_j.amc.2018.10.068,theory,N/A,N/A,exact,adjacent,close,non_payoff_behavior,5,5
10.1016_j.amc.2018.11.029,theory,N/A,N/A,close,exact,adjacent,non_payoff_behavior,6,6
10.1016_j.amc.2019.06.038,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,6,6
10.1016_j.amc.2019.124798,theory,N/A,N/A,close,close,adjacent,non_payoff_behavior,7,0
10.1016_j.amc.2019.124889,theory,N/A,N/A,adjacent,adjacent,exact,efficiency_or_payoff,5,3
10.1016_j.amc.2019.124945,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,5,5
10.1016_j.amc.2020.125063,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,8,8
10.1016_j.amc.2020.125250,theory,N/A,N/A,exact,adjacent,adjacent,non_payoff_behavior,4,4
10.1016_j.amc.2020.125600,theory,N/A,N/A,exact,exact,adjacent,non_payoff_behavior,8,7
